app_name,size
msalazark/cardiffnlp-twitter-xlm-roberta-base-sentiment,1885.52
junming-qiu/toxic-tweets-milestone-2,35625.880000000005
magnolia-psychometrics/item-desirability-demo,601915.2400000001
Pruthul/CS482-104-Milestone2,3393.76
Ariel8/sentiment-analysis,2319.72
sm2899/sentiment-analysis,1959.8
thotranexe/milestone2,1696.28
Ariel8/Toxic-Tweets,38301.4
kya5/CS482-Milestone2,2718.52
zox47/cardiffnlp-twitter-xlm-roberta-base-sentiment,1882.52
unaiolaizola/analisis_metacognitivo,712845.9600000001
psycen/cardiffnlp-twitter-xlm-roberta-base-sentiment,1881.52
834188divi/cardiffnlp-twitter-xlm-roberta-base-sentiment,1927.48
holistic-ai/emotion-recognition,4001.88
savasy/SentimentHistogramForTurkish,62291.840000000004
savasy/Twitter2SentiForTurkish,3957.3199999999997
alperbayram/Duygu_Analizi,2013.08
Hasangzc/TurkishNLP_Try,2039.08
Bedirhan/bitirme-proje,10534.28
Melis/MySpaceName,2190.16
memojja/sentiment-analysis-example,2353.52
maliaydemir/news-generator,2324.52
onuraycicek/firstai,2332.52
fatihdemirci88/test01,2333.52
Murat62/muratduyguanalizi,2506.48
Murat62/murat62duyguanalizi,2385.48
furkinofaso/First_Training,2379.48
melihsafaozbek/sentimentanaliz,2382.48
Hediye/huggingface_deneme,2385.48
AliNail/Koc,2373.48
serdar2nc/kedi,2361.48
Notfear/irfan_yildirim,2381.48
nuribaba27/proje_1,2372.48
ja-818/speech_and_text_emotion_recognition,13348.44
j-hartmann/emotion-classification-from-csv,5953.28
j-hartmann/emotion-similarity,5178.68
gshotwell/multi-query-sentiment,6931.4
jitesh/storytelling,5328.08
awacke1/CSV2ClassifyVisualization,12742.36
awacke1/CSVSentiment,6551.12
lRoz/j-hartmann-emotion-english-distilroberta-base,1881.52
elitecode/Detect_Emotions,1954.52
abrar-adnan/speech-analyzer,11851.78
awacke1/HEDIS.Dash.Component.Top.Clinical.Terminology.Vocabulary,29149.32
poiiii/clefourrier-graphormer-base-pcqm4mv1,2190.52
jpdiazpardo/jpdiazpardo-whisper-tiny-metal,10047.56
samueldomdey/Emotion,5548.4
asingh6/patient-sentiment-analysis,3881.4800000000005
Puree/Lab_10,2359.16
Guynaris/Lab10_620510564,2183.16
n4th/nlp-reviews,17994.5
Ozziey/emotion-classifier-from-string,2209.52
CutieDev/j-hartmann-emotion-english-distilroberta-base,1884.52
asdadaa/j-hartmann-emotion-english-distilroberta-base,1884.52
leolinardi/j-hartmann-emotion-english-distilroberta-base,1880.52
darthPanda/SentimentAnalysisTool,34429.72
kahvem/aisense,3345.7200000000003
utkarsh95m/j-hartmann-emotion-english-distilroberta-base,1883.52
huzw1995/j-hartmann-emotion-english-distilroberta-base,1882.52
Pruthul/CS482-104-Milestone2,3393.76
dk3156/sentiment_analysis_app,14220.48
dbleek/cs-gy-6613-project,174242.2
jlaf01/sentiment-analysis-app,21426.04
xingxing12/j-hartmann-emotion-english-distilroberta-base,1902.52
whitphx/streamlit-multi-query-sentiment-analysis,3119.7200000000003
dperales/ITACA_Insurance_Core_v4,256382.87999999995
JKJanosko/Toxicity-Analysis,150526.52
kya5/CS482-Milestone2,2718.52
danielperales/ITACA_Insurace_NLP_v2,256432.87999999995
dbleek/cs-gy-6613-project-final,285660.68
Suzana/text_basic_emotions,1846.16
